,page_id,title,attribute,text_offset_start_line_id,text_offset_start_offset,text_text,html_offset_start_line_id,html_offset_start_offset,html_text,text_offset_end_line_id,text_offset_end_offset,html_offset_end_line_id,html_offset_end_offset,system_03011,system_10011,system_05010,system_07011,system_02010,system_01011,text_offset_start,text_offset_end,html_offset_start,html_offset_end,correct,worker_Lns201407,worker_marble00,worker_tokumei3578,worker_MasatoYoshihara,worker_kisaran455,worker_diamante007,worker_stonewood,worker_recluse,worker_hona15,worker_tidy-blues,worker_uni-7188,worker_DNF38,worker_angari14,worker_kanatalanc,worker_bungoya_t,worker_ch_ch,worker_tomur106,worker_tomomintea,worker_kumin1,worker_momo_41049,worker_myu-2,worker_kuruupu,worker_minasenantoka,worker_mmm07r,worker_ubermensch,worker_pssky,worker_bvglp11,worker_nekoNO1,worker_mochachi,worker_huku1,worker_rinaria_tia,worker_kitajima,worker_ekd00,worker_ripmaykoro05one,worker_kitanokenta,worker_dorae1019,worker_asokoha,worker_bpktwn8181,worker_lanamaace,worker_takahiro0655,worker_chihiro999,worker_natsu-68,worker_kyaitokosan2,worker_lan1374,worker_doraiai51,worker_banas,worker_u2424,worker_rechard,worker_hyro_8333,worker_fayefaye,worker_burrell1931,worker_wata_yuki,worker_varacuda,worker_yuna1127,worker_PFOG0112,worker_lc02102,worker_mas_529,worker_akkun1,worker_tapdancemisei,worker_nyantakun,worker_inui,worker_MsaTK84,worker_shoun,worker_fujikao19,worker_kazu_mission,worker_komichi21,worker_hysq77,worker_cubebox,worker_yy-yamazaki,worker_r_a_g_55,worker_m-mon2,worker_ca2_se_9ci,worker_neroli_83574,worker_5c5d6c949acf2,worker_ralance,worker_miumiu-001,worker_imati,worker_suxsun0147,worker_emuxa345,worker_217murakami,worker_peka,worker_toscp,worker_truenoAE101,worker_mayumi_ogiuchi,worker_Kaocang46,worker_monmon333,worker_Luke_Sky,worker_koujikouji44,worker_ai_ka,worker_panpan1,worker_aladdin,worker_tamori,worker_monmon3,worker_tomotw,worker_lanlanshiy,worker_Tea-Sky,worker_cm8672,worker_hiroshi1624,worker_smozby,worker_mosa1017,worker_y-Nishin,worker_makiwo,worker_na-ko51,worker_lcptn15,worker_yukikou,worker_kyoushinrie,worker_mabu3,worker_maf111,worker_kuronyachi,worker_uemon-no-jou,worker_Weetabix,worker_hima_write,worker_kakiagezan,worker_ammer1022,worker_norynory,worker_st001,worker_hiyusutsugeshi,worker_moaimoai,worker_ako819,worker_shamneko,worker_hideo_ueda,worker_schuman48,worker_taberun3,worker_shirochansan,worker_ken_sio_2211,worker_Nao0101,worker_MorryBK,worker_toyo_1968,worker_mumu18650,worker_kusiro509,worker_tamic,worker_beiko777,worker_BK_WORKS,worker_Sato-fr,worker_lanctaro24,worker_lilybenzo810,worker_z129,worker_korokorokun,worker_muzieak1968,worker_m4AfTvGY,worker_kazuya23001,worker_y-ichii,worker_hey8,worker_miniC1kame,count_yes,count_no,count_na,MV
3043,2040069,マカディカディ塩湖,別名,36,49,マカリカリ塩湖,36,287,マカリカリ塩湖,36,56,36,294,True,,True,True,True,,2505,2512,5667,5674,True,,yes,,,yes,,yes,,yes,,,,,,,,,,,,,yes,yes,,,,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,yes
3720,2354120,淡海湖,貯水量,44,0,163 km3,44,0,"163 <a href=""/index.php/%E7%AB%8B%E6%96%B9%E3%83%A1%E3%83%BC%E3%83%88%E3%83%AB"" title=""立方メートル"">km<sup>3",44,7,44,103,,True,True,True,True,True,2630,2637,8219,8322,True,,yes,,,yes,,yes,,yes,,,,,,,,,,,,,yes,yes,,,,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,yes
5012,2978850,パウエル湖,橋・トンネル,83,222,自然橋,83,360,自然橋,83,225,83,363,,,,True,,,8275,8278,22489,22492,False,,no,,,yes,,no,,no,,,,,,,,,,,,,no,yes,,,,yes,yes,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,yes
6620,512545,千波湖,流入・流出河川,76,225,桜川,76,894,桜川,76,227,76,896,True,,,True,True,,3063,3065,13250,13252,True,,no,,,yes,,no,,yes,,,,,,,,,,,,,no,no,,,,yes,yes,na,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,1,yes
7821,679269,ルツェルン湖,水質（淡水・汽水）,42,0,淡水,42,0,淡水,42,2,42,2,,True,True,True,True,True,2296,2298,6292,6294,True,,,yes,,yes,,,,,,,,yes,,,,,,,,,,,,,,yes,yes,,,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,yes
2831,196428,印旛沼,透明度,139,0,"11.0
11.0
10.0
12.0
10.0
9.5
9.1
8.6
9.4
8.1
8.6
11
8.5
8.6
8.9
11
11


北印旛沼中央

9.5
10.0
12.0
11.0
10.0
9.4
8.8
9.0
9.4
9.8
9.2
11",139,4,"11.0</td>
<td>11.0</td>
<td>10.0</td>
<td>12.0</td>
<td>10.0</td>
<td>9.5</td>
<td>9.1</td>
<td>8.6</td>
<td>9.4</td>
<td>8.1</td>
<td>8.6</td>
<td>11</td>
<td>8.5</td>
<td>8.6</td>
<td>8.9</td>
<td>11</td>
<td>11
</td></tr>
<tr>
<th>北印旛沼中央
</th>
<td>9.5</td>
<td>10.0</td>
<td>12.0</td>
<td>11.0</td>
<td>10.0</td>
<td>9.4</td>
<td>8.8</td>
<td>9.0</td>
<td>9.4</td>
<td>9.8</td>
<td>9.2</td>
<td>11",171,2,171,6,,,True,,,,4084,4182,18849,19217,False,,,no,,no,,,,,,,,na,,,,,,,,,,,,,,na,no,,,no,no,no,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,2,no
6898,536433,津軽富士見湖,種類,52,68,人造湖,52,140,人造湖,52,71,52,143,True,True,True,True,True,,2983,2986,11519,11522,True,,,yes,,yes,,,,,,,,yes,,,,,,,,,,,,,,yes,yes,,,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,yes
8339,951230,泡瀬干潟,動物,85,49,黄緑藻類,85,423,黄緑藻類,85,53,85,427,,,,True,,,4419,4423,16130,16134,False,,,no,,no,,,,,,,,no,,,,,,,,,,,,,,yes,no,,,no,yes,yes,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,0,no
1428,145876,猪苗代湖,形成時期,81,14,約2万年前,81,116,約2万年前,81,19,81,121,True,,,True,,,3886,3891,22822,22827,False,no,no,,,,no,yes,no,,no,,,,,,,,,,,,,,,,,yes,,,,,,,,,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,8,0,no
7614,666291,天池,動物,47,7,ᠲᠠᠮᡠᠨᠣᠮᠣ,47,823,ᠲᠠᠮᡠᠨ<br />ᠣᠮᠣ,47,15,47,837,,True,,,,,6516,6524,14632,14646,False,no,no,,,,no,no,no,,no,,,,,,,,,,,,,,,,,no,,,,,,,,,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,0,no
5635,3260984,モエリス湖,所在地,37,44,カイロの南西80km付近,37,207,カイロ</a>の南西80km付近,37,56,37,223,True,True,,,,,2555,2567,5572,5588,False,yes,yes,,,,yes,yes,yes,,yes,,,,,,,,,,,,,,,,,yes,,,,,,,,,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,yes
482,1114951,ジ海,別名,77,50,鹿,77,162,鹿,77,51,77,163,,True,,,,,3531,3532,14225,14226,False,no,no,,,,no,no,no,,no,,,,,,,,,,,,,,,,,no,,,,,,,,,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,0,no
8372,951230,泡瀬干潟,動物,116,112,生態系,116,434,生態系,116,115,116,437,,,,True,,,5308,5311,23049,23052,False,no,no,,,,no,no,no,,no,,,,,,,,,,,,,,,,,no,,,,,,,,,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,10,0,no
5002,2978850,パウエル湖,産業,188,16,水力発電,188,23,水力発電,188,20,188,27,,True,,True,,,12482,12486,33423,33427,False,yes,,,,,,,,,,,,yes,,,no,,,,,,,,,,yes,,,,,,,,,,,,,no,no,no,yes,yes,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,yes
6729,530799,深泥池,別名,115,123,タモロコ,115,929,タモロコ,115,127,115,933,,True,,,,,5737,5741,24791,24795,False,no,,,,,,,,,,,,yes,,,no,,,,,,,,,,no,,,,,,,,,,,,,no,no,no,no,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,0,no
1143,1427572,仁田沼,種類,34,28,沼,34,237,沼,34,29,34,238,True,True,True,True,True,,2191,2192,4173,4174,True,yes,,,,,,,,,,,,yes,,,yes,,,,,,,,,,yes,,,,,,,,,,,,,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,yes
5058,2978850,パウエル湖,動物,189,61,カワホトトギスガイ,189,68,カワホトトギスガイ,189,70,189,77,True,,,,,,12614,12623,33562,33571,False,no,,,,,,,,,,,,yes,,,no,,,,,,,,,,yes,,,,,,,,,,,,,no,no,no,yes,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,0,no
3498,2267968,久美浜湾,観光地,83,78,久美の浜温泉,83,257,久美の浜温泉,83,84,83,263,True,True,,,True,,3965,3971,16014,16020,True,yes,,,,,,,,,,,,yes,,,yes,,,,,,,,,,yes,,,,,,,,,,,,,yes,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,yes
3148,2159741,ヤムドク湖,島,37,0,北緯28度56分,37,349,北緯28度56分,37,8,37,357,,True,,,,,2274,2282,5603,5611,False,no,,,,,,,,no,,,,no,,,,,,,,,,,no,,,,,,,,,yes,,,,,,,,,,yes,yes,no,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,0,yes
7189,54796,カスピ海,国,142,287,ロシア,142,1775,ロシア,142,290,142,1778,,True,,,,,15858,15861,58703,58706,False,yes,,,,,,,,yes,,,,yes,,,,,,,,,,,yes,,,,,,,,,no,,,,,,,,,,yes,no,yes,na,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2,1,yes
6796,530799,深泥池,植物,112,151,アベマキ,112,1114,アベマキ,112,155,112,1118,,True,,True,True,,5570,5574,23537,23541,False,yes,,,,,,,,yes,,,,yes,,,,,,,,,,,yes,,,,,,,,,yes,,,,,,,,,,yes,yes,no,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,0,yes
5810,3415799,イエローヘッド湖,流入・流出河川,41,92,フレーザー川,41,190,フレーザー川,41,98,41,196,,,,True,True,,2838,2844,7237,7243,False,yes,,,,,,,,yes,,,,yes,,,,,,,,,,,yes,,,,,,,,,yes,,,,,,,,,,yes,yes,no,no,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,2,0,yes
2531,192531,ヴァン湖,湖岸の地域区分,75,137,エルジシュ,75,870,エルジシュ,75,142,75,875,,True,,,,,7399,7404,22953,22958,False,yes,,,,,,,,yes,,,,yes,,,,,,,,,,,yes,,,,,,,,,no,,,,,,,,,,no,yes,no,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,0,yes
8106,881742,ヴェッテルン湖,別名,68,28,ミジンコ類,68,302,ミジンコ類,68,33,68,307,,True,,,,,3444,3449,10663,10668,False,,,,,,,,,,,,,no,,,,,,,,,,,,,,,no,,,,,,no,,,,,no,,,,,no,,,,no,no,yes,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,9,0,no
3698,2354120,淡海湖,成因,62,9,淡海耕地整理組合により赤坂川上流の窪地に堰堤を着手、大正12年に1923年に完成した,62,120,"淡海耕地整理組合により赤坂川上流の窪地に堰堤を着手、<a href=""/index.php/%E5%A4%A7%E6%AD%A3"" title=""大正"">大正</a>12年に<a href=""/index.php/1923%E5%B9%B4"" title=""1923年"">1923年</a>に完成した",62,51,62,270,,True,,,,,2812,2854,11055,11205,False,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,yes,,,,,,yes,,,,,yes,,,,,yes,,,,yes,yes,yes,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,yes
7379,54796,カスピ海,所在地,142,274,中央アジア,142,1683,中央アジア,142,279,142,1688,,,,True,,,15845,15850,58611,58616,False,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,yes,,,,,,no,,,,,no,,,,,no,,,,no,na,yes,no,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,6,1,no
