text,attribute,model answer,model choise,answer
江戸時代に開削された農業用水路・塩沢堰に施された改良事業の一環として建設されたものである,成因,0,crowd,0
グルジア,国,0,crowd,0
松本市,所在地,0,crowd,0
137.83472,座標・経度,1,crowd,0
64.42000,島,0,crowd,0
59.,座標・緯度,0,crowd,0
東海北陸自動車道桜ヶ池ハイウェイオアシスに隣接する,所在地,1,crowd,0
21.033,座標・経度,0,crowd,0
金精トンネル,橋・トンネル,0,crowd,0
湖,種類,0,crowd,0
東経13.792222度,座標・経度,0,annotator,0
アメリカ合衆国,国,1,crowd,1
東経137度50分36秒,座標・経度,0,annotator,0
チョウザメ類,動物,1,crowd,1
北ホラント州,湖岸の地域区分,1,crowd,1
"7,806ha",面積,0,crowd,0
530m,最大水深,1,crowd,1
佐濃,流入・流出河川,0,crowd,0
40▁m,平均水深,1,crowd,1
北緯28度56分,島,0,annotator,0
北緯36度55分27秒,島,0,crowd,0
137,座標・経度,0,crowd,0
渡り鳥,動物,1,crowd,0
幸魂大橋,橋・トンネル,1,crowd,1
平池古墳群,観光地,1,crowd,0
コメ,産業,0,crowd,0
水草,植物,0,crowd,0
清久,観光地,0,crowd,0
ハウトリブ堤防,流入・流出河川,0,crowd,0
オランダ風の風車,湖岸の地域区分,0,crowd,0
Hazar▁Denizi,別名,1,crowd,1
グレンキャニオンダム,所在地,0,crowd,0
泥炭地,種類,0,crowd,0
中世に灌漑用として造られた,成因,0,crowd,0
コアマモ,植物,0,crowd,0
約300m,長さ,0,crowd,1
タンチョウヅル,植物,0,crowd,0
2.8▁m▁(9.2,座標・緯度,0,crowd,0
梓川,流入・流出河川,1,crowd,0
アイオス・アキリオス島,島,1,crowd,1
北緯67.500度,座標・緯度,1,crowd,0
イェータランド,所在地,0,crowd,1
雲南省,別名,0,crowd,0
小合溜,動物,0,crowd,0
栄町,湖岸の地域区分,0,crowd,0
北緯35度31分5.66秒,座標・緯度,1,crowd,0
性,成因,0,crowd,0
東大鳥川,流入・流出河川,1,crowd,0
西経111,座標・経度,0,crowd,0
50▁km,幅,0,crowd,0
国立公園,公園,0,crowd,0
モンチェゴルスク市,湖岸の地域区分,1,crowd,1
みどろいけ,動物,0,crowd,0
カキツバタ[,別名,0,crowd,0
千葉県北西部、印西市、佐倉市、成田市、印旛郡栄町、八千代市にまたがる,所在地,1,crowd,1
沼,種類,1,crowd,0
水系本流の東大鳥川上流,所在地,0,crowd,0
Türkçe,島,0,crowd,0
美笛の滝,観光地,0,crowd,1
ウミウチワ,動物,0,crowd,0
養,産業,0,crowd,0
木崎湖花火大会,湖岸の地域区分,0,crowd,0
東経134度5分38.30秒,座標・経度,0,annotator,0
の言葉で「美しい湖」または「輝く水」に由来する,名前の謂れ,0,crowd,0
ヨシノボリ,別名,0,crowd,0
u▁mi)水面標高6▁m▁(20▁f,貯水量,0,crowd,0
エビモ,別名,0,crowd,0
「上高地」が史蹟名勝天然紀念物保存法による「名勝及ビ天然紀念物」に指定される際の,名前の謂れ,0,crowd,0
鶴の舞橋,橋・トンネル,1,crowd,1
ミネアポリス・セントポール,所在地,0,crowd,0
マサチューセッツ州ウースター郡,所在地,0,crowd,0
円墳,観光地,0,crowd,0
木崎湖温泉,観光地,1,crowd,1
工業,産業,0,crowd,0
94.6[3][4][2]▁m,成因,0,crowd,0
桐生競艇場,動物,0,crowd,0
北緯44度,座標・緯度,1,crowd,0
ヒシ,植物,1,crowd,1
北緯,座標・緯度,0,crowd,0
ニジマス,別名,0,crowd,0
24.1メートル,長さ,0,crowd,1
2～4▁m,平均水深,1,crowd,1
弱アルカリ性,水質（淡水・汽水）,0,crowd,1
ため池,種類,0,crowd,1
近隣の葛温泉から引湯をしている木崎湖温泉を擁し,所在地,0,crowd,0
ニュージーランド,国,1,crowd,1
利根川洪水,流入・流出河川,0,crowd,0
約249km2,面積,1,crowd,1
119▁km,長さ,1,crowd,1
シコット[,別名,0,crowd,0
イグサ,植物,1,crowd,1
アイヌ語の「フーレ・ペツ」（赤い川）。これは本来、流入河川の風蓮川を指した地名であり、,名前の謂れ,0,crowd,0
エネットビュルゲン,湖岸の地域区分,1,crowd,1
ラント,国,0,crowd,0
池,流入・流出河川,0,crowd,0
ホラント州,湖岸の地域区分,0,crowd,0
東経136.727278度,座標・経度,0,annotator,0
三日月湖,種類,1,crowd,1
ブレ,最大水深,0,crowd,0
埼玉地区,所在地,1,crowd,0
塩沢堰,成因,0,crowd,0
白鳥,動物,1,crowd,1
北緯43,島,0,crowd,0
酸栄養湖,種類,1,crowd,1
湖,種類,0,crowd,0
ボリビアの,国内位置,0,crowd,0
北緯36.37000度,座標・緯度,0,annotator,0
山,成因,0,crowd,0
ティエンチ,別名,1,crowd,1
淡水,水質（淡水・汽水）,1,crowd,1
御菩薩池,別名,1,crowd,1
36.59806,座標・緯度,1,crowd,0
東経136度52分08秒,座標・経度,1,crowd,0
ホシハジロ,動物,1,crowd,1
氷河湖,成因,1,crowd,1
ヨシやマコモを餌にする[21]。,名前の謂れ,0,crowd,0
ため池百選,種類,0,crowd,0
ヴァトナヨークトル氷河の氷冠の北西側,所在地,0,crowd,0
「甘い海」の意味,名前の謂れ,0,crowd,0
トゥルカナ湖に次いで北,所在地,0,crowd,0
湖沼,種類,0,crowd,1
東経130度55分52秒,幅,0,crowd,0
北緯52度51分59秒,座標・緯度,0,annotator,0
Lake▁Merom,動物,0,crowd,0
ソウギョ,別名,0,crowd,0
北緯10.23250度,島,0,crowd,0
98.8756,幅,0,crowd,0
マサチューセッツ州ウースター郡ウェブスター,所在地,1,crowd,1
しぶき氷,観光地,0,crowd,1
北緯0度38分,座標・緯度,1,crowd,0
鴨川,流入・流出河川,1,crowd,0
2.6845,座標・緯度,1,crowd,0
11.90[1]▁km2,面積,1,crowd,1
クビレミドロ,別名,0,crowd,0
カヤツリグサ科,植物,0,crowd,0
223万▁m3,貯水量,1,crowd,1
約60m,水深,1,crowd,1
アースダム,成因,0,crowd,0
北緯36.06806度,座標・緯度,0,annotator,0
宇佐市,湖岸の地域区分,0,crowd,1
養殖,産業,0,crowd,0
藻類,植物,0,crowd,0
湖,種類,1,crowd,1
みぞろがいけ,別名,0,crowd,0
ゴリ,動物,1,crowd,1
埼玉県加須市旗井字明神,所在地,1,crowd,1
下,所在地,0,crowd,0
湖,種類,1,crowd,1
タンチョウヅル,別名,0,crowd,0
ドン川,流入・流出河川,1,crowd,1
日本,国,0,crowd,0
原,産業,0,crowd,0
スモーランド地方,湖岸の地域区分,1,crowd,0
蓼科山から北西,所在地,1,crowd,0
北緯34度55分46秒,島,0,annotator,0
カスピ海の奥,所在地,0,crowd,0
トルコ,国,0,crowd,0
アメリカ合衆国東部の多くの水域,所在地,0,crowd,0
支笏湖を「シコッペッ[8]（支笏川、現在の千歳川）の水源の湖」の意で「シコットホ,名前の謂れ,0,crowd,0
タヌキ,動物,1,crowd,1
オオクチバス,別名,0,crowd,0
基本的にコンゴ共和国とコンゴ民主共和国の国境は川の中央,所在地,0,crowd,0
東経132度44分35秒,座標・経度,0,annotator,0
"4,800▁sq▁mi",面積,1,crowd,0
星湖亭,観光地,0,crowd,0
139.46222,座標・経度,1,crowd,0
マリモ,動物,1,crowd,0
めがみこ,読み,1,crowd,1
北緯2度41分04秒,座標・緯度,0,annotator,0
オオハクチョウ,動物,1,crowd,1
"1,025m",成因,0,crowd,0
赤沼ため池,動物,0,crowd,0
池,種類,0,crowd,1
ケニア共和国西部のリフトバレー州,所在地,1,crowd,0
ブラックバス,別名,0,crowd,0
バスク,湖岸の地域区分,0,crowd,0
ザパドナーヤ川,流入・流出河川,1,crowd,1
山形県・新潟県境の朝日山地にある以東岳北麓、山形県鶴岡市大鳥,所在地,0,crowd,0
宍塚古墳群,観光地,1,crowd,0
ウグイ,別名,0,crowd,0
オジロワシ,別名,0,crowd,0
成田市,湖岸の地域区分,1,crowd,1
北緯40度56分,座標・緯度,0,annotator,0
430キロメートル,周囲長,1,crowd,1
東経14.07500度,座標・経度,1,crowd,0
ロシア,国,1,crowd,0
ナイルティラピア,動物,1,crowd,0
失業士族,別名,0,crowd,0
グレン,流入・流出河川,0,crowd,0
北海道,所在地,1,crowd,1
ユタ州,湖岸の地域区分,0,crowd,0
小プレスパ湖,別名,0,crowd,0
"3,798▁km",長さ,0,crowd,0
鶴の舞橋,橋・トンネル,1,crowd,1
東経42.817度,幅,0,annotator,0
ヒドリガモ,動物,0,crowd,1
東経50度40分,座標・経度,1,crowd,0
Prespa▁e▁Vogël,動物,0,crowd,0
白鳥,動物,1,crowd,1
13億,面積,0,crowd,0
観光,産業,1,crowd,0
西側には北アルプスが控え,所在地,0,crowd,0
-17.33000,座標・経度,0,crowd,0
淡水,水質（淡水・汽水）,1,crowd,1
ヌー,別名,0,crowd,0
マル・グラッド島,島,1,crowd,1
59.01[1]▁km2周囲長96,面積,0,crowd,0
上流州,所在地,0,crowd,0
クラッピー,動物,0,crowd,1
North▁Pond,長さ,0,crowd,0
オオカナダモ,植物,1,crowd,1
運河,流入・流出河川,0,crowd,0
コサギ,別名,0,crowd,0
大理市下関鎮附近の,所在地,0,crowd,0
ニカラグア,国,1,crowd,1
湖,種類,0,crowd,1
沖縄県内,所在地,0,crowd,0
35.,座標・緯度,0,crowd,0
人造,成因,0,crowd,1
アワセカニダマシマメアゲマキ,動物,1,crowd,1
550万年前,形成時期,0,crowd,1
アルゼンチン,国,1,crowd,1
Таймы́рское▁о́зеро,動物,0,crowd,0
ヨット,動物,0,crowd,0
北緯59度12分,島,0,crowd,0
クサガメ,動物,1,crowd,1
876km2,面積,1,crowd,1
約3km,面積,0,crowd,0
ヘラブナ,別名,0,crowd,0
サンフアン川,流入・流出河川,1,crowd,1
4.4km,幅,1,crowd,0
138.62500,幅,0,crowd,0
美度呂池,動物,0,crowd,0
中国,国,1,crowd,1
10m,最大水深,1,crowd,0
下流端,所在地,0,crowd,0
ヴェーネルン湖の東,所在地,1,crowd,1
小村田,湖岸の地域区分,0,crowd,0
オオセグロカモメ,動物,1,crowd,1
埼玉県さいたま市桜区から戸田市,所在地,1,crowd,1
中,成因,0,crowd,0
日本,国,1,crowd,0
甲,別名,0,crowd,0
Lago▁de▁Nicaragua,動物,0,crowd,0
4▁km,周囲長,0,crowd,0
ネバダ州とアリゾナ州にまたがっ,所在地,0,crowd,0
池,種類,1,crowd,1
1973年,形成時期,0,crowd,0
吉林省,所在地,1,crowd,1
ミネソタ州,湖岸の地域区分,0,crowd,0
語で「大きな湖」を意味する,名前の謂れ,0,crowd,0
東経130度02分13秒,座標・経度,0,annotator,0
オオハクチョウ,動物,1,crowd,1
北緯11度37分,島,0,annotator,0
クラスノヴォーツク,湖岸の地域区分,1,crowd,1
東経134.0939722度,幅,0,annotator,0
ヴォルガ川,流入・流出河川,1,crowd,1
Lake▁El'gygytgyn,別名,1,crowd,1
コイ,動物,1,crowd,1
布田川,流入・流出河川,0,crowd,0
ロシア,国,1,crowd,0
"1,775▁▁m",水面標高,1,crowd,1
北緯33度10分55秒,座標・緯度,0,annotator,0
ウグイ,動物,1,crowd,1
ビワマス,動物,1,crowd,0
泥炭の浮島を形成する湿原は寒冷地に多く見られるが温暖な地域に存在する例は少なく、石炭の生成過程を知る資料としても貴重であること,名前の謂れ,0,crowd,0
41.667,島,0,crowd,0
"約1,100万年まえ",形成時期,0,crowd,0
8910111213141516171819,長さ,0,crowd,0
カワカマス,別名,0,crowd,0
観光,産業,0,crowd,1
ヌマガヤ,植物,1,crowd,1
フエゴ島,所在地,1,crowd,0
アルバニア,国,1,crowd,0
東経130.03694度,幅,0,annotator,0
激しい戦闘により沖縄本島中南部は焦土と化した,成因,0,crowd,0
腐植栄養型,種類,0,crowd,1
佐倉城址公園,公園,1,crowd,0
淡水,水質（淡水・汽水）,1,crowd,1
オオハクチョウ,別名,0,crowd,0
ブルーギル,別名,0,crowd,0
Lareo▁urtegia,動物,1,crowd,0
ヨンショーピング,動物,0,crowd,0
33,座標・緯度,0,crowd,0
桜ヶ池,別名,0,crowd,0
立山黒部アルペン,観光地,0,crowd,0
東経130度55分52秒,座標・経度,1,crowd,0
ネブラスカ州,湖岸の地域区分,1,crowd,0
"Çarpanak島,",最大水深,0,crowd,0
板井神社,観光地,0,crowd,0
隕石クレーター,成因,0,crowd,0
90.683,座標・経度,1,crowd,0
静岡県浜松市天竜区（旧磐田郡水窪町,所在地,0,crowd,0
ナイル川,流入・流出河川,1,crowd,1
インドネシア,国,1,crowd,1
火山,種類,1,crowd,0
"4,000,000▁m³",面積,0,crowd,0
グラッド島,島,0,crowd,0
市柳沼,流入・流出河川,0,crowd,0
バリンゴこ,読み,1,crowd,1
氷河,成因,0,crowd,0
北カスピ海,構成する湖沼,0,crowd,1
"4,560▁km2",面積,1,crowd,1
ため池,種類,1,crowd,1
36.74056,島,0,crowd,0
プロヴァンス＝アルプ＝コート,湖岸の地域区分,0,crowd,0
吉田,観光地,0,crowd,0
約25km,長さ,0,crowd,0
イエローヘッド湖,別名,0,crowd,0
チベット自治区山南市ナンカルツェ県,所在地,1,crowd,1
カキツバタ,植物,1,crowd,1
マガジャネス,流入・流出河川,0,crowd,0
農業,産業,1,crowd,0
ダム,種類,0,crowd,0
Rognac,湖岸の地域区分,1,crowd,1
1997年,形成時期,1,crowd,0
湖,種類,1,crowd,1
コロラド川,流入・流出河川,1,crowd,1
Oreochromis,動物,0,crowd,0
北,所在地,0,crowd,0
15▁m▁(49▁ft),最大水深,0,crowd,0
フナ,別名,0,crowd,0
ムルマンスク州、コラ半島の南西部,所在地,1,crowd,0
1〜2m,水深,0,crowd,0
アオサギ,動物,1,crowd,1
東経36度05分,幅,0,annotator,0
ベッコウトンボ,別名,0,crowd,0
北緯34度54分59.4秒,島,0,crowd,0
北緯10.23250度,島,0,annotator,0
熊本県阿蘇郡西原村,所在地,1,crowd,1
イガイ,動物,1,crowd,0
水位調節堰,構成する湖沼,0,crowd,0
127▁▁m,水面標高,1,crowd,1
堰止湖,形成時期,0,crowd,0
江川,流入・流出河川,1,crowd,1
泥濘,名前の謂れ,0,crowd,0
以東岳北麓,所在地,0,crowd,0
西蓮寺,湖岸の地域区分,0,crowd,0
湖,種類,1,crowd,1
東経140.163194度,幅,0,annotator,0
北緯36度56分10秒,座標・緯度,0,annotator,0
約0.5km,長さ,1,crowd,1
Pont-de-Bouc,湖岸の地域区分,0,crowd,0
東経36.083度,幅,0,annotator,0
28.933,島,0,crowd,0
ホール・イン・ザ・ロック・クロッシング,観光地,0,crowd,1
ヒノキ,植物,1,crowd,1
おおきりはたためいけ,読み,1,crowd,1
北緯36度56分10秒,島,0,annotator,0
東経33.000度,座標・経度,1,crowd,0
キアシシギ,別名,0,crowd,0
ムジナモ,植物,1,crowd,1
ジネズミ,別名,0,crowd,0
ミミズ,動物,1,crowd,1
観光,産業,0,crowd,1
オイカワ,動物,1,crowd,1
北緯43.30000度,座標・緯度,0,annotator,0
淡水,水質（淡水・汽水）,0,crowd,0
26▁m,最大水深,1,crowd,1
サツキマス,別名,0,crowd,0
Moliniopsis▁japonica,別名,0,crowd,0
134,座標・経度,0,crowd,0
多々良沼公園,公園,0,crowd,0
漁業補償金,産業,0,crowd,0
大池,動物,0,crowd,0
樽前ガロー,観光地,1,crowd,1
la▁Touloubre,流入・流出河川,1,crowd,1
マハチカラ,流入・流出河川,0,crowd,0
州立公園,公園,1,crowd,0
マリニャーヌ,湖岸の地域区分,1,crowd,1
"1,972▁m",水面標高,1,crowd,1
エンクハウゼン,湖岸の地域区分,1,crowd,1
貯,成因,0,crowd,0
トルクメンバシ,湖岸の地域区分,0,crowd,1
ビワ,植物,0,crowd,0
南北1～1.5キロメートルの東西に細長く広がる小さな湖,成因,0,crowd,0
27km,周囲長,0,crowd,1
ワカサギ,別名,0,crowd,0
22.79389,座標・緯度,0,crowd,0
ジネズミ,動物,1,crowd,1
石油,産業,1,crowd,0
Μεγάλη▁Πρέσπα,別名,1,crowd,0
26▁m▁(85,成因,0,crowd,0
貯水池,種類,1,crowd,1
御泥池▁真泥,別名,0,crowd,0
網走管内網走郡津別町字沼沢,所在地,1,crowd,0
"約332,000m2",面積,1,crowd,1
アイスランド,国,1,crowd,1
ジュンサイ,動物,0,crowd,0
東経140.45972度,座標・経度,0,annotator,0
カミこ,別名,1,crowd,1
"1,660メートル",水面標高,0,crowd,0
1966年（昭和41年）7月,形成時期,0,crowd,0
アイスランド,国,0,crowd,0
北緯36度08分11.34秒,島,0,annotator,0
樽前山,所在地,0,crowd,0
えひめ森林公園,公園,1,crowd,0
4▁m,平均水深,1,crowd,1
東経167.80000度,幅,0,annotator,0
ボウバアマモ群落,植物,0,crowd,0
チャーチル川,流入・流出河川,1,crowd,1
下北半島の北東端,所在地,0,crowd,0
おびらめの沢,流入・流出河川,1,crowd,1
東経136度52分52.4秒,座標・経度,1,crowd,0
北緯36.74056度,座標・緯度,0,annotator,0
36.06806,座標・緯度,1,crowd,0
標高1691m,所在地,0,crowd,0
この地方に「高架沼に春過ぎても白鳥居るは凶」という言い伝えがある,名前の謂れ,0,crowd,0
マケドニア,国,1,crowd,1
11.0▁m,最大水深,1,crowd,1
36.37000,座標・緯度,1,crowd,0
イリノイ州,所在地,0,crowd,0
42.04167,座標・緯度,0,crowd,0
10m,水深,0,crowd,0
5.7▁m,平均水深,1,crowd,1
死火山,種類,0,crowd,0
東経145.35000度,座標・経度,0,annotator,0
西経67度59分,幅,0,annotator,0
東経137度50分36秒,幅,0,crowd,0
北緯34度54分59.4秒,座標・緯度,1,crowd,0
ワカサギ,別名,0,crowd,0
湖,種類,0,crowd,1
ツルシギ,動物,0,crowd,1
火山湖,種類,0,crowd,1
現代から見て最後にあたる氷河期の際に、海岸線の再隆起によって形成された,成因,0,crowd,0
イワナ,別名,0,crowd,0
コガモ,動物,1,crowd,1
連島,島,0,crowd,0
146▁cu▁mi,貯水量,1,crowd,1
北緯34度54分59.4秒,島,0,crowd,0
阿蘇外輪山・俵山の南麓,所在地,1,crowd,0
"19,",面積,0,crowd,0
ネブラスカ州,所在地,1,crowd,0
西経110.87222度,座標・経度,0,annotator,0
西経111.48417度,座標・経度,0,annotator,0
ソビエト社会主義共和国,国,0,crowd,0
100km,周囲長,0,crowd,0
石炭,産業,0,crowd,0
栃木県,所在地,1,crowd,1
23.4▁km3,貯水量,1,crowd,1
御菩薩池,動物,0,crowd,0
村,動物,0,crowd,0
"280,586▁km2",面積,0,crowd,0
小,橋・トンネル,0,crowd,0
Bendimahi,流入・流出河川,0,crowd,1
"1,270▁km2から1,700▁km2",面積,1,crowd,1
浅間川の左岸（西側）,所在地,0,crowd,0
淡水,水質（淡水・汽水）,0,crowd,0
福島県会津若松市、郡山市、耶麻郡猪苗代町にまたがる,所在地,1,crowd,1
北部カスピ海,構成する湖沼,0,crowd,0
東アジア,動物,0,crowd,0
カタシャジクモ,植物,1,crowd,1
トモエガモ,動物,1,crowd,1
石油産業,産業,1,crowd,0
偕楽園公園,公園,1,crowd,0
Таймы́р,別名,0,crowd,1
2,流入・流出河川,0,crowd,0
長野県大町市,所在地,1,crowd,1
オオハクチョウ,動物,1,crowd,1
タンチョウ,別名,0,crowd,0
チョウザメ,動物,1,crowd,1
千葉県北西部,所在地,0,crowd,0
0▁▁m,水面標高,1,crowd,1
3倍以上,最大水深,1,crowd,0
モエリス湖,別名,0,crowd,0
クサガメ,動物,1,crowd,1
西印旛沼,構成する湖沼,0,crowd,1
地引き網,動物,0,crowd,0
州の中部に、セントポールとミネアポリスのツインシティから見て北,所在地,0,crowd,0
カザフスタン,国,1,crowd,0
マール[2],成因,1,crowd,0
湖沼,種類,1,crowd,1
テ・アナウ湖,別名,0,crowd,0
熊本県阿蘇郡西原村小森,所在地,1,crowd,1
オーストリア,国,1,crowd,1
85▁ft,貯水量,0,crowd,0
断層湖,種類,1,crowd,1
Sagittaria,動物,0,crowd,0
-54.533,座標・緯度,1,crowd,0
尼子氏,動物,0,crowd,0
ブオッシュ,湖岸の地域区分,1,crowd,1
ミドルポンド,動物,0,crowd,0
大理鯉,別名,0,crowd,0
最大約8.0km,幅,1,crowd,1
ミジンコ,動物,0,crowd,0
西経17度19分48秒,幅,0,annotator,0
36.74056,座標・緯度,1,crowd,0
Mille▁Lacs▁Kathio▁State,公園,0,crowd,0
ウナギ,動物,1,crowd,1
カキの養殖,産業,0,crowd,0
イリノイ州,所在地,1,crowd,1
ジャンボスズキ,動物,1,crowd,1
ロシア,国,1,crowd,1
北緯44度,座標・緯度,1,crowd,0
東経84度00分,座標・経度,1,crowd,0
久喜市,湖岸の地域区分,0,crowd,0
水力発電,産業,1,crowd,0
バクー,湖岸の地域区分,0,crowd,1
ジャンボ,動物,0,crowd,0
ロシア,国,1,crowd,0
戦場ヶ原,観光地,0,crowd,0
北緯0.633度,島,0,annotator,0
雲南省,国,0,crowd,0
853m,最大水深,0,crowd,0
北緯36度56分10秒,座標・緯度,0,annotator,0
高原地帯,種類,0,crowd,0
"3,057▁km",周囲長,0,crowd,1
トモエガモ,別名,0,crowd,0
イスラエル,国,0,crowd,0
74.54278,島,0,crowd,0
大戸貝塚,観光地,1,crowd,0
リュウキュウスガモ,動物,0,crowd,0
半世紀ほど前までは日常的に存在していたようだが、精進湖と地下でつながっている本栖湖と西湖の湖水が発電用に放水されるようになってから姿を消した,名前の謂れ,0,crowd,0
東経130.03694度,幅,0,annotator,0
東経,座標・経度,0,crowd,0
みぞろ池,動物,0,crowd,0
調節池群,種類,0,crowd,0
淡水,水質（淡水・汽水）,1,crowd,1
クワッガガイ,動物,0,crowd,1
さかな,動物,0,crowd,0
モエリスというのは,名前の謂れ,0,crowd,0
カキツバタ,植物,1,crowd,1
Lake▁Taymyr,別名,1,crowd,1
67▁m,成因,0,crowd,0
鯉,別名,0,crowd,0
カイツブリ,別名,0,crowd,0
テ・アナウ,湖岸の地域区分,1,crowd,1
北緯36度4分5秒,島,0,annotator,0
湖,種類,1,crowd,1
アルゼンチン,国,0,crowd,0
143.87583,幅,0,crowd,0
アフリカ大陸の北部,所在地,1,crowd,1
北緯29度28分29秒,座標・緯度,1,crowd,0
ヴェッテルンイワナ,動物,0,crowd,1
阿賀野川,流入・流出河川,1,crowd,0
北緯28度56分,座標・緯度,0,annotator,0
Oreochromis▁alcalicus▁baringoensi,動物,1,crowd,1
コロラド川,流入・流出河川,1,crowd,1
北緯35.34417度,島,0,annotator,0
人工湖,種類,1,crowd,1
浅間川,流入・流出河川,1,crowd,0
33.18194,座標・緯度,1,crowd,0
東経98.8756度,幅,0,crowd,0
オジロワシ,動物,1,crowd,1
カンザス州,湖岸の地域区分,1,crowd,0
雲南省,所在地,1,crowd,1
5.2平方キロメートル,面積,1,crowd,1
カワツルモ,植物,1,crowd,1
東経140度09分47.5秒,幅,0,annotator,0
オオハクチョウ,動物,1,crowd,1
武,動物,0,crowd,0
アストラハン州,所在地,1,crowd,0
フラこ,読み,1,crowd,1
東経140度06分,幅,0,annotator,0
南伊予,所在地,0,crowd,0
深泥ケ池,別名,1,crowd,1
西,流入・流出河川,0,crowd,0
桜,公園,0,crowd,0
こあいためい,読み,1,crowd,1
ロシア,国,0,crowd,0
"20,330m2",面積,1,crowd,1
黄色鞭,植物,0,crowd,0
ソウギョ,別名,0,crowd,0
清久西池,観光地,0,crowd,0
イワシ類,動物,0,crowd,1
上タイミル川,流入・流出河川,1,crowd,1
にだぬま,読み,1,crowd,1
サン・フアン川,流入・流出河川,1,crowd,1
東経,幅,0,crowd,0
マンギシュラク半島,湖岸の地域区分,0,crowd,0
東経5.11389度,座標・経度,1,crowd,0
石川県羽咋市,所在地,1,crowd,1
層,成因,0,crowd,0
